Username,Timestamp,What is your current year of study?,Have you decided on your specialization track?,"To what extent do you agree:
""I understand what people in each track actually do in real-world roles (e.g. projects, internships, job scope).

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)","Before choosing your track, did you feel like you had enough exposure to real-world examples?",Which of the following sources do you rely on MOST to understand different tracks? (Select up to 2),"To what extent do you agree:
“The guidance I received so far when choosing my track is tailored to my strengths and interests.”

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)","How helpful do you find the current guidance provided by SCIS (e.g. portals, talks, advisors)?

(1 = Not Helpful; 2 = Slightly Helpful; 3 = Moderately Helpful; 4 = Helpful; 5 = Very Helpful)",What is your biggest challenge when choosing a Specialization Track?,Which of the following do you feel is MOST lacking in your decision process?,"How useful would the following tool be in supporting your track decision?
a) Short simulation of real-world tasks from each track

(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","How useful would the following tool be in supporting your track decision?
b) Personalized track recommendation based on my profile
(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","To what extent do you agree with the following statement: 
""The process of choosing my track was clear and well-guided.""

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)",Please elaborate on your experience. What made the process clear or unclear for you?,Which sources did you rely on MOST to understand different tracks? (Select up to 2),Which of the following do you feel is MOST lacking in your decision process?,"Looking back, how helpful would the following tool have been in supporting your track decision? 
a) Short simulation of real-world tasks from each track

(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","Looking back, how helpful would the following tool have been in supporting your track decision? 
 b) Personalized track recommendation based on my profile

(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","After selecting your specialization track, how well do you understand how it translates into real-world applications and job roles (e.g. projects, internships, career paths)?

(1 = Not at all; 2 = Slightly; 3 = Moderately; 4 = Mostly; 5 = Completely)"
1,2026/04/03 11:45:44 am GMT+8,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",3,4,Fear of making the wrong decision,Nothing is lacking,3,4,,,,,,,
2,2026/04/03 11:46:53 am GMT+8,Year 2,Yes,,,,,,,,,,4,I consulted some of my seniors as well as a career coach to really discover what I enjoy doing and what I wouldn't mind working as in the future,Seniors;Career talks,Hands-on exposure to tasks,5,4,4
3,2026/04/03 11:50:16 am GMT+8,Year 2,Yes,,,,,,,,,,5,I was sure that I wanted the least coding possible. ,Seniors;Friends / peers,Understanding of career outcomes,5,5,5
4,2026/04/03 11:51:37 am GMT+8,Year 2,Yes,,,,,,,,,,4,"I knew what mods I gravitated more towards, as well as my interests. It was just a bit confusing with all the mods counting and how many CU go where, etc.","Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,5,5,4
5,2026/04/03 11:53:57 am GMT+8,Year 2,Yes,,,,,,,,,,3,"Not having sufficient information on the types of jobs available for each track, the modules taken and unsure which would suit myself better","School platforms (Oasis, website);Friends / peers",Real-world examples of jobs,4,4,3
6,2026/04/03 11:58:11 am GMT+8,Year 2,Yes,,,,,,,,,,5,"Was already sure of what I wanted, so choosing was clear by declaring on oasis.",Seniors;Friends / peers,Hands-on exposure to tasks,4,4,5
7,2026/04/03 11:59:01 am GMT+8,Year 2,Yes,,,,,,,,,,3,,"School platforms (Oasis, website)",Understanding of career outcomes,4,5,4
8,2026/04/03 12:02:14 pm GMT+8,Year 2,Yes,,,,,,,,,,5,"The website defines each track and the modules needed to be cleared, making them distinctive.","School platforms (Oasis, website)",Hands-on exposure to tasks,4,2,3
9,2026/04/03 12:06:54 pm GMT+8,Year 2,No,2,Not really,Career talks;Friends / peers,2,3,Lack of real-world understanding,Hands-on exposure to tasks,5,3,,,,,,,
10,2026/04/03 12:07:27 pm GMT+8,Year 2,No,4,Somewhat,"Seniors;School platforms (Oasis, website)",2,2,Fear of making the wrong decision,Clear comparison between tracks,5,5,,,,,,,
11,2026/04/03 12:07:37 pm GMT+8,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",1,2,Lack of clear differences between tracks,Hands-on exposure to tasks,5,5,,,,,,,
12,2026/04/03 12:09:06 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",1,2,Fear of making the wrong decision,Hands-on exposure to tasks,4,4,,,,,,,
13,2026/04/03 12:10:23 pm GMT+8,Year 2,Yes,,,,,,,,,,3,I knew what were my choices and what mods I would have to take for each track. ,"School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,5,5,3
14,2026/04/03 12:11:02 pm GMT+8,Year 2,Yes,,,,,,,,,,2,"Not really as need to find information online myself, and also know what I interested in also","Career talks;School platforms (Oasis, website)",Hands-on exposure to tasks,4,4,4
15,2026/04/03 12:13:41 pm GMT+8,Year 3,Yes,,,,,,,,,,1,,Vibes,Real-world examples of jobs,5,1,1
16,2026/04/03 12:15:34 pm GMT+8,Year 2,Yes,,,,,,,,,,1,,Seniors;Friends / peers,Clear comparison between tracks,2,5,2
17,2026/04/03 12:15:38 pm GMT+8,Year 2,Yes,,,,,,,,,,4,I dont like that we were not able to try out courses from all tracks first before deciding ,Friends / peers,Clear comparison between tracks,4,3,3
18,2026/04/03 12:36:39 pm GMT+8,Year 2,Yes,,,,,,,,,,4,There were talks given for each specialisation during the semester to let me know what I can expect. SMU IS website shows us the mods required to clear the track.,"School platforms (Oasis, website);Friends / peers",Clear comparison between tracks,4,5,4
19,2026/04/03 12:37:29 pm GMT+8,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",4,3,Not sure which fits me,Hands-on exposure to tasks,4,4,,,,,,,
20,2026/04/03 1:00:11 pm GMT+8,Year 2,Yes,,,,,,,,,,3,There are SCIS major talks however after attending those sessions I am still left unsure of what I want to pursue. I feel those sessions also do not fully portray what the tracks will be like.,Career talks;Friends / peers,Hands-on exposure to tasks,5,5,3
21,2026/04/03 1:04:10 pm GMT+8,Year 3,Yes,,,,,,,,,,5,All the second major information was provided by my course coordinator. We also had a briefing on it. ,Course coordinator,Hands-on exposure to tasks,4,5,4
22,2026/04/03 1:19:49 pm GMT+8,Year 2,Yes,,,,,,,,,,3,,Friends / peers,Understanding of career outcomes,4,4,4
23,2026/04/03 2:14:57 pm GMT+8,Year 2,No,2,Not at all,"Seniors;School platforms (Oasis, website)",2,1,Not sure which fits me,Understanding of career outcomes,4,5,,,,,,,
24,2026/04/03 3:48:08 pm GMT+8,Year 2,Yes,,,,,,,,,,2,,"School platforms (Oasis, website)",Understanding of career outcomes,3,3,3
25,2026/04/03 3:55:08 pm GMT+8,Year 2,Yes,,,,,,,,,,4,"I'm from software engineering, our batch is rather small so our teachers have made it clear (since year 1), which courses we could take to clear certain 2nd majors",Friends / peers;SE info sessions,Understanding of career outcomes,5,4,5
26,2026/04/03 4:23:47 pm GMT+8,Year 2,Yes,,,,,,,,,,4,,Friends / peers,Understanding of career outcomes,3,4,5
27,2026/04/03 4:32:09 pm GMT+8,Year 2,Yes,,,,,,,,,,3,"I saw that the programme outline provides different potential career paths that one can go through with. However, as careers get non-linear, I realised that I need to know skills across some or all tracks eventually so it was a bit difficult to decide between doing a single or double track.","Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,4,5,4
28,2026/04/03 5:23:29 pm GMT+8,Year 2,No,3,Not really,"Seniors;School platforms (Oasis, website)",4,2,Fear of making the wrong decision,Real-world examples of jobs,4,4,,,,,,,
29,2026/04/03 7:47:01 pm GMT+8,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",2,3,Fear of making the wrong decision,Hands-on exposure to tasks,5,4,,,,,,,
30,2026/04/03 9:22:44 pm GMT+8,Year 2,No,4,Somewhat,Seniors;Career talks,4,4,Not sure which fits me,Hands-on exposure to tasks,4,3,,,,,,,
31,2026/04/03 10:04:02 pm GMT+8,Year 3,Yes,,,,,,,,,,4,The excel file in Google drive made it clear,"Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,5,5,5
32,2026/04/03 10:49:34 pm GMT+8,Year 3,Yes,,,,,,,,,,4,clear that it was the most logical and lucrative track without coding,"School platforms (Oasis, website);Friends / peers",Hands-on exposure to tasks,5,5,2
33,2026/04/03 10:55:29 pm GMT+8,Year 3,Yes,,,,,,,,,,2,It felt like there wasn't enough guidance or information in choosing tracks. also common questions were not easy to find answers to ,Seniors;Friends / peers,Hands-on exposure to tasks,4,3,3
34,2026/04/03 11:12:08 pm GMT+8,Year 2,Yes,,,,,,,,,,2,I thought product management was figma ,ChatGPT,Hands-on exposure to tasks,5,4,2
35,2026/04/03 11:40:13 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);LinkedIn / job descriptions",2,3,Not sure which fits me,Clear comparison between tracks,4,5,,,,,,,
36,2026/04/04 12:26:23 am GMT+8,Year 3,Yes,,,,,,,,,,3,I guess it was quite easy as FinTech was too niche (and i don't wish to be a finance tech bro) and SMT is also not a very interesting path.,Seniors;Friends / peers,Clear comparison between tracks,4,3,3
37,2026/04/04 1:17:00 am GMT+8,Year 2,Yes,,,,,,,,,,1,i have no idea what each track is exactly abt,"School platforms (Oasis, website);Friends / peers",Real-world examples of jobs,4,4,3
38,2026/04/04 10:33:55 am GMT+8,Year 3,Yes,,,,,,,,,,3,"At that point I would not know much about the possible career options I can consider from my track, or be able to compare the future prospects of different options","School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,5,5,4
39,2026/04/04 12:10:24 pm GMT+8,Year 2,Yes,,,,,,,,,,2,Mostly checked with friends for the process or detailed information on what the track offers,Seniors;Friends / peers,Real-world examples of jobs,4,4,3
40,2026/04/04 12:36:57 pm GMT+8,Year 2,Yes,,,,,,,,,,2,,Seniors;Friends / peers,Understanding of career outcomes,4,5,5
41,2026/04/04 1:58:44 pm GMT+8,Year 3,Yes,,,,,,,,,,4,I just looked through the smu website as well as asking seniors,Seniors,Understanding of career outcomes,2,2,3
42,2026/04/04 2:20:19 pm GMT+8,Year 2,Yes,,,,,,,,,,5,,"School platforms (Oasis, website)",Clear comparison between tracks,5,4,5
43,2026/04/04 2:35:20 pm GMT+8,Year 3,Yes,,,,,,,,,,4,Was specified from the beginning during freshman year how to declare your major and track. Explored enough to know what I want ,"School platforms (Oasis, website);Friends / peers",Nothing is lacking,3,3,4
44,2026/04/04 3:08:46 pm GMT+8,Year 2,Yes,,,,,,,,,,2,I feel like it wasn’t explained well enough what we could learn from each module within the tracks,Seniors;LinkedIn / job descriptions,Hands-on exposure to tasks,4,5,2
45,2026/04/04 5:59:32 pm GMT+8,Year 3,Yes,,,,,,,,,,3,,Seniors;Friends / peers,Hands-on exposure to tasks,4,3,4
46,2026/04/04 6:00:51 pm GMT+8,Year 2,Yes,,,,,,,,,,4,future career path,Seniors;Friends / peers,Hands-on exposure to tasks,5,5,5
47,2026/04/04 6:03:53 pm GMT+8,Year 2,Yes,,,,,,,,,,3,I want to do many mods but the combinations are a little weird to understand,"School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,4,5,5
48,2026/04/04 6:43:59 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",2,3,Not sure which fits me,Hands-on exposure to tasks,5,2,,,,,,,
49,2026/04/05 12:38:06 am GMT+8,Year 4,Yes,,,,,,,,,,5,"I think choosing my track/specialisation was quite clear for me from the start since I’ve had a goal of the job I’d want to specialise in eventually. What helped me in deciding further was attending the track briefing sessions from the profs, the Q&A sessions and also from asking seniors of the modules they’ve taken to fulfil their track. These also helped me understand the potential job prospects I’d get from the track I choose.",Seniors;Career talks,Real-world examples of jobs,5,5,5
50,2026/04/05 9:07:03 am GMT+8,Year 3,Yes,,,,,,,,,,3,"information segmentation - didnt know cannot select major an hour before bidding time, not exactly sure what mods can i take under each specialisation","School platforms (Oasis, website)",Hands-on exposure to tasks,4,2,4
51,2026/04/05 10:39:51 am GMT+8,Year 4,Yes,,,,,,,,,,5,All information is available and well worded when I need them.,"School platforms (Oasis, website);Friends / peers",Clear comparison between tracks,5,5,4
52,2026/04/05 7:17:21 pm GMT+8,Year 2,Yes,,,,,,,,,,4,I understood the assignment ,"Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,4,4,4
53,2026/04/05 8:25:45 pm GMT+8,Year 2,Yes,,,,,,,,,,2,Not sure what career prospects are there / what specific mods teach,LinkedIn / job descriptions;Friends / peers,Understanding of career outcomes,4,4,3
54,2026/04/06 1:12:18 am GMT+8,Year 2,Yes,,,,,,,,,,3,More of thinking what job sector I want to go for,Seniors;Friends / peers,Real-world examples of jobs,4,4,3
55,2026/04/06 1:18:23 am GMT+8,Year 2,Yes,,,,,,,,,,3,What if report was hard to see possible scenarios of what modules can be double counted from oasis for the relevant track.,"School platforms (Oasis, website)",Clear comparison between tracks,3,3,4
56,2026/04/06 1:22:21 am GMT+8,Year 2,Yes,,,,,,,,,,3,,"School platforms (Oasis, website);Friends / peers",Real-world examples of jobs,5,5,4
57,2026/04/06 1:24:06 am GMT+8,Year 2,Yes,,,,,,,,,,3,"The process was clear in a sense that we were given a spreadsheet on what courses we could take under each specialisation. It was unclear because we weren't too sure which modules we can take so that it will be useful for us in the future as there is a wide variety of modules we can choose within one specialisation, and we only need to take 4","School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,4,4,3
58,2026/04/06 1:33:27 am GMT+8,Year 2,Yes,,,,,,,,,,3,"There's clear information online about what each track entails, and what mods are needed to clear each, but all these info is not easily aggregated. ","School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,3,4,4
59,2026/04/06 1:33:41 am GMT+8,Year 2,Yes,,,,,,,,,,2,i still lost at double counting,Seniors;Friends / peers,Clear comparison between tracks,4,4,4
60,2026/04/06 1:43:11 am GMT+8,Year 2,Yes,,,,,,,,,,3,"choosing 3 mods out of the long list feels kinda random, not sure I can come out n say I'm competent in the track name",Seniors;Friends / peers,Hands-on exposure to tasks,5,3,4
61,2026/04/06 1:43:42 am GMT+8,Year 2,Yes,,,,,,,,,,4,Many resources available in the form of info deck or meetings online,"School platforms (Oasis, website)",Real-world examples of jobs,4,4,4
62,2026/04/06 2:20:06 am GMT+8,Year 3,Yes,,,,,,,,,,2,I was confused and overwhelmed with what tracks offers and what courses to take to fulfill the tracks,Seniors,Understanding of career outcomes,4,4,4
63,2026/04/06 6:56:17 am GMT+8,Year 2,No,2,Not really,LinkedIn / job descriptions;Friends / peers,2,2,Not sure which fits me,Hands-on exposure to tasks,4,4,,,,,,,
64,2026/04/06 8:27:19 am GMT+8,Year 2,Yes,,,,,,,,,,3,What modules can I clear/double count,"Seniors;School platforms (Oasis, website)",Understanding of career outcomes,4,2,4
65,2026/04/06 8:33:27 am GMT+8,Year 2,Yes,,,,,,,,,,3,,Seniors;Friends / peers,Clear comparison between tracks,3,3,4
66,2026/04/06 8:45:43 am GMT+8,Year 3,Yes,,,,,,,,,,4,its on oasis,Seniors;Friends / peers,Real-world examples of jobs,4,2,4
67,2026/04/06 8:52:16 am GMT+8,Year 3,Yes,,,,,,,,,,5,,Seniors;Friends / peers,Hands-on exposure to tasks,5,3,4
68,2026/04/06 11:09:51 am GMT+8,Year 2,Yes,,,,,,,,,,4,the course outline for the different tracks were available for us to see. Although more information could have been available like what exactly was going to be taught in the different courses,"Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,4,5,4
69,2026/04/06 12:03:14 pm GMT+8,Year 4,Yes,,,,,,,,,,4,The courses available under each track are clear on the SCIS website. There was a track selection briefing to answer any questions,"School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,4,2,5
70,2026/04/06 1:28:33 pm GMT+8,Year 2,Yes,,,,,,,,,,3,"It was only clearer after speaking to prof during y2sem1, i was confused at the start as im not aware of where are the centralised documention/guide located",Seniors;Friends / peers,Hands-on exposure to tasks,5,3,5
71,2026/04/06 2:30:32 pm GMT+8,Year 3,Yes,,,,,,,,,,4,The briefing done by the school and also help from seniors.,Seniors;Friends / peers,Understanding of career outcomes,4,4,4
72,2026/04/06 3:29:26 pm GMT+8,Year 2,Yes,,,,,,,,,,4,,"Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,4,5,4
73,2026/04/06 4:16:08 pm GMT+8,Year 2,Yes,,,,,,,,,,4,"I think instructions were clear, it was emphasised since the start that we had to choose our specialisations since start of year 1. But you had to sign up for major talks and all to understand more about what you can choose","Career talks;School platforms (Oasis, website)",Understanding of career outcomes,5,5,4
74,2026/04/06 4:21:26 pm GMT+8,Year 2,Yes,,,,,,,,,,2,"Didnt know what i wanted to do, had to ownself figure it out",self research to see what i like,Hands-on exposure to tasks,4,4,4
75,2026/04/06 4:25:22 pm GMT+8,Year 3,Yes,,,,,,,,,,4,,Friends / peers,Nothing is lacking,4,4,4
76,2026/04/06 9:42:50 pm GMT+8,Year 2,Yes,,,,,,,,,,4,Nil,Seniors;Friends / peers,Real-world examples of jobs,4,4,4
77,2026/04/06 9:48:30 pm GMT+8,Year 3,Yes,,,,,,,,,,4,mostly clear through ispd track guidance,"School platforms (Oasis, website)",Understanding of career outcomes,4,4,4
78,2026/04/06 11:56:18 pm GMT+8,Year 3,Yes,,,,,,,,,,4,The briefings held by the school and the school website provided clear information on the requirements and potential future trajectory.,"Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,4,4,5
79,2026/04/08 4:13:04 pm GMT+8,Year 2,Yes,,,,,,,,,,4,,"School platforms (Oasis, website);Friends / peers",Hands-on exposure to tasks,5,3,4
80,2026/04/08 7:16:38 pm GMT+8,Year 2,Yes,,,,,,,,,,3,,"Seniors;School platforms (Oasis, website)",Understanding of career outcomes,4,4,4