Timestamp,What is your current year of study?,Have you decided on your specialization track?,To what extent do you agree:,"Before choosing your track, did you feel like you had enough exposure to real-world examples?",Which of the following sources do you rely on MOST to understand different tracks? (Select up to 2),"To what extent do you agree:
“The guidance I received so far when choosing my track is tailored to my strengths and interests.”

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)","How helpful do you find the current guidance provided by SCIS (e.g. portals, talks, advisors)?",What is your biggest challenge when choosing a Specialization Track?,Which of the following do you feel is MOST lacking in your decision process?,How useful would the following tool be in supporting your track decision?,How useful would the following tool be in supporting your track decision?
2026/04/03 11:45:44 am GMT+8,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",3,4,Fear of making the wrong decision,Nothing is lacking,3,4
2026/04/03 12:06:54 pm GMT+8,Year 2,No,2,Not really,Career talks;Friends / peers,2,3,Lack of real-world understanding,Hands-on exposure to tasks,5,3
2026/04/03 12:07:27 pm GMT+8,Year 2,No,4,Somewhat,"Seniors;School platforms (Oasis, website)",2,2,Fear of making the wrong decision,Clear comparison between tracks,5,5
2026/04/03 12:07:37 pm GMT+8,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",1,2,Lack of clear differences between tracks,Hands-on exposure to tasks,5,5
2026/04/03 12:09:06 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",1,2,Fear of making the wrong decision,Hands-on exposure to tasks,4,4
2026/04/03 12:37:29 pm GMT+8,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",4,3,Not sure which fits me,Hands-on exposure to tasks,4,4
2026/04/03 2:14:57 pm GMT+8,Year 2,No,2,Not at all,"Seniors;School platforms (Oasis, website)",2,1,Not sure which fits me,Understanding of career outcomes,4,5
2026/04/03 5:23:29 pm GMT+8,Year 2,No,3,Not really,"Seniors;School platforms (Oasis, website)",4,2,Fear of making the wrong decision,Real-world examples of jobs,4,4
2026/04/03 7:47:01 pm GMT+8,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",2,3,Fear of making the wrong decision,Hands-on exposure to tasks,5,4
2026/04/03 9:22:44 pm GMT+8,Year 2,No,4,Somewhat,Seniors;Career talks,4,4,Not sure which fits me,Hands-on exposure to tasks,4,3
2026/04/03 11:40:13 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);LinkedIn / job descriptions",2,3,Not sure which fits me,Clear comparison between tracks,4,5
2026/04/04 6:43:59 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",2,3,Not sure which fits me,Hands-on exposure to tasks,5,2
2026/04/06 6:56:17 am GMT+8,Year 2,No,2,Not really,LinkedIn / job descriptions;Friends / peers,2,2,Not sure which fits me,Hands-on exposure to tasks,4,4